start_date,lat,lon,l1,l2,l3,rooms,bedrooms,bathrooms,surface_total,surface_covered,price,currency,property_type,operation_type
22/08/2020,-37.996039,-57.542509,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,8,,,687,687,,,Otro,Venta
22/08/2020,-31.38018719,-58.00918205,Argentina,Entre Ríos,Concordia,2,1,1,80,80,,,Casa,Alquiler
22/08/2020,-27.4941061,-55.1234554,Argentina,Misiones,Oberá,2,1,1,,,,,Lote,Venta
22/08/2020,-32.94885638,-60.63046371,Argentina,Santa Fe,Rosario,3,1,1,76,66,,,Departamento,Venta
22/08/2020,-32.884278,-60.7109013,Argentina,Santa Fe,Rosario,2,1,1,39,33,,,Departamento,Alquiler
22/08/2020,-34.6041951,-58.5598271,Argentina,Bs.As. G.B.A. Zona Oeste,Tres de Febrero,2,1,1,,42,,,Departamento,Alquiler
22/08/2020,-32.94883387,-60.63016866,Argentina,Santa Fe,Rosario,5,2,2,130,108,,,Departamento,Venta
22/08/2020,-32.9490251,-60.630468,Argentina,Santa Fe,Rosario,6,3,2,207,175,,,Departamento,Venta
22/08/2020,-34.43960998,-58.62996825,Argentina,Bs.As. G.B.A. Zona Norte,Tigre,4,4,4,,260,,,Casa,Alquiler temporal
22/08/2020,,,Argentina,Bs.As. G.B.A. Zona Norte,San Isidro,7,4,2,320,320,,,Casa,Alquiler temporal
22/08/2020,-26.8150044,-65.223229,Argentina,Tucumán,San Miguel de Tucumán,6,4,2,247,,,,Casa,Venta
22/08/2020,-38.0143188,-57.5302775,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,5,5,3,181,181,,,Departamento,Venta
22/08/2020,-34.6047952,-58.3775423,Argentina,Capital Federal,San Nicolás,3,,2,200,200,50000,ARS,Oficina,Alquiler
22/08/2020,-34.61643,-58.4143927,Argentina,Capital Federal,Almagro,1,,1,42,28,20000,ARS,Departamento,Alquiler
22/08/2020,-34.57986378,-58.41559047,Argentina,Capital Federal,Palermo,1,,1,31,31,16000,ARS,Departamento,Alquiler
22/08/2020,-37.10352507,-56.85958419,Argentina,Buenos Aires Costa Atlántica,Pinamar,1,,1,48,40,30000,ARS,Departamento,Alquiler temporal
22/08/2020,-32.9439832,-60.6720624,Argentina,Santa Fe,Rosario,1,,1,36,36,10000,ARS,Departamento,Alquiler
22/08/2020,,,Argentina,Capital Federal,Belgrano,1,,1,26,26,19000,ARS,Departamento,Alquiler
22/08/2020,,,Argentina,Capital Federal,Belgrano,1,,1,37,34,26000,ARS,Departamento,Alquiler
22/08/2020,,,Argentina,Bs.As. G.B.A. Zona Sur,La Plata,1,,1,32,30,11500,ARS,Departamento,Alquiler
22/08/2020,-34.6237933,-58.4022563,Argentina,Capital Federal,San Cristobal,1,,1,40,,15000,ARS,Departamento,Alquiler
22/08/2020,-34.52347,-58.4859302,Argentina,Bs.As. G.B.A. Zona Norte,Vicente López,1,,1,25,25,12000,ARS,Departamento,Alquiler
22/08/2020,,,Argentina,Bs.As. G.B.A. Zona Sur,Lanús,2,,1,27,,16000,ARS,Local comercial,Alquiler
22/08/2020,-34.6196325,-58.7049177,Argentina,Bs.As. G.B.A. Zona Oeste,Ituzaingó,1,1,1,25,25,9500,ARS,Casa,Alquiler
22/08/2020,-34.5974064,-58.3784057,Argentina,Capital Federal,Retiro,1,1,1,39,37,19000,ARS,Oficina,Alquiler
22/08/2020,-34.5974064,-58.3784057,Argentina,Capital Federal,Retiro,1,1,1,39,37,24000,ARS,Oficina,Alquiler
22/08/2020,-34.5974064,-58.3784057,Argentina,Capital Federal,Retiro,1,1,1,39,37,24000,ARS,Oficina,Alquiler
22/08/2020,-34.5974064,-58.3784057,Argentina,Capital Federal,Retiro,1,1,1,39,37,19000,ARS,Oficina,Alquiler
22/08/2020,-34.5974064,-58.3784057,Argentina,Capital Federal,Retiro,1,1,1,39,37,19000,ARS,Oficina,Alquiler
22/08/2020,-34.5974064,-58.3784057,Argentina,Capital Federal,Retiro,1,1,1,39,37,24000,ARS,Oficina,Alquiler
22/08/2020,-34.5974064,-58.3784057,Argentina,Capital Federal,Catalinas,1,1,1,39,37,24000,ARS,Oficina,Alquiler
22/08/2020,-34.5974064,-58.3784057,Argentina,Capital Federal,Catalinas,1,1,1,39,37,19000,ARS,Oficina,Alquiler
22/08/2020,-34.5974064,-58.3784057,Argentina,Capital Federal,Monserrat,1,1,1,39,37,24000,ARS,Oficina,Alquiler
22/08/2020,-34.5974064,-58.3784057,Argentina,Capital Federal,Monserrat,1,1,1,39,37,19000,ARS,Oficina,Alquiler
22/08/2020,-34.5974064,-58.3784057,Argentina,Capital Federal,Tribunales,1,1,1,39,37,19000,ARS,Oficina,Alquiler
22/08/2020,-34.5974064,-58.3784057,Argentina,Capital Federal,Tribunales,1,1,1,39,37,24000,ARS,Oficina,Alquiler
22/08/2020,-34.5974064,-58.3784057,Argentina,Capital Federal,San Nicolás,1,1,1,39,37,24000,ARS,Oficina,Alquiler
22/08/2020,-34.5974064,-58.3784057,Argentina,Capital Federal,San Nicolás,1,1,1,39,37,19000,ARS,Oficina,Alquiler
22/08/2020,-34.6110914,-58.4044054,Argentina,Capital Federal,Once,2,1,1,32,32,16500,ARS,Departamento,Alquiler
22/08/2020,-34.3977201,-58.6491743,Argentina,Bs.As. G.B.A. Zona Norte,Tigre,1,1,1,55,55,48000,ARS,Departamento,Alquiler
22/08/2020,-34.8884562,-58.5090983,Argentina,Bs.As. G.B.A. Zona Sur,Ezeiza,2,1,,72,45,20000,ARS,Departamento,Alquiler
22/08/2020,-34.5987822,-58.4312773,Argentina,Capital Federal,Palermo,2,1,1,,47,32000,ARS,Departamento,Alquiler
22/08/2020,-34.5855558,-58.4195873,Argentina,Capital Federal,Palermo,2,1,1,31,30,19000,ARS,Departamento,Alquiler
22/08/2020,-34.5852249,-58.4250728,Argentina,Capital Federal,Palermo,2,1,1,53,50,50000,ARS,Departamento,Alquiler temporal
22/08/2020,-32.9551035,-60.6388687,Argentina,Santa Fe,Rosario,2,1,1,48,45,15000,ARS,Departamento,Alquiler
22/08/2020,,,Argentina,Santa Fe,Rosario,2,1,1,,,13000,ARS,Departamento,Alquiler
22/08/2020,-34.6081031,-58.4439718,Argentina,Capital Federal,Caballito,2,1,1,39,35,18000,ARS,Departamento,Alquiler
22/08/2020,-34.62249607,-58.44950491,Argentina,Capital Federal,Caballito,2,1,1,45,36,25000,ARS,Departamento,Alquiler
22/08/2020,-34.65418937,-58.6634266,Argentina,Bs.As. G.B.A. Zona Oeste,Ituzaingó,2,1,1,40,40,19000,ARS,Departamento,Alquiler
22/08/2020,-34.5388522,-58.7087404,Argentina,Bs.As. G.B.A. Zona Norte,San Miguel,2,1,,30,30,15000,ARS,Departamento,Alquiler
22/08/2020,-34.5981324,-58.3932326,Argentina,Capital Federal,Barrio Norte,1,1,1,37,37,22000,ARS,Departamento,Alquiler
22/08/2020,,,Argentina,Capital Federal,Villa Urquiza,1,1,1,40,34,20000,ARS,Departamento,Alquiler
22/08/2020,-34.74521615,-58.39047862,Argentina,Bs.As. G.B.A. Zona Sur,Lomas de Zamora,2,1,1,40,40,17000,ARS,Departamento,Alquiler
22/08/2020,,,Argentina,Bs.As. G.B.A. Zona Oeste,La Matanza,3,2,1,,60,27500,ARS,PH,Alquiler
22/08/2020,-34.7409076,-58.6801215,Argentina,Bs.As. G.B.A. Zona Oeste,Merlo,3,2,1,111,111,1200000,ARS,Casa,Venta
22/08/2020,-34.3774649,-58.7560113,Argentina,Bs.As. G.B.A. Zona Norte,Escobar,3,2,1,130,130,27000,ARS,Casa,Alquiler
22/08/2020,-34.6110914,-58.4044054,Argentina,Capital Federal,Once,3,2,1,52,52,21500,ARS,Departamento,Alquiler
22/08/2020,-34.4612523,-58.8545795,Argentina,Bs.As. G.B.A. Zona Norte,Pilar,3,2,1,113,66,37000,ARS,Departamento,Alquiler
22/08/2020,-34.4529709,-58.6429866,Argentina,Bs.As. G.B.A. Zona Norte,Tigre,3,2,1,49,40,18000,ARS,Departamento,Alquiler
22/08/2020,,,Argentina,Bs.As. G.B.A. Zona Norte,Tigre,3,2,2,85,75,65000,ARS,Departamento,Alquiler temporal
22/08/2020,-34.8939057,-58.5080837,Argentina,Bs.As. G.B.A. Zona Sur,Ezeiza,3,2,2,80,,30000,ARS,Departamento,Alquiler
22/08/2020,-34.91423104,-57.93989716,Argentina,Bs.As. G.B.A. Zona Sur,La Plata,3,2,1,40,40,12000,ARS,Departamento,Alquiler
22/08/2020,-34.5917754,-58.3940998,Argentina,Capital Federal,Recoleta,3,2,2,68,65,44000,ARS,Departamento,Alquiler
22/08/2020,-34.5901759,-58.3899023,Argentina,Capital Federal,Recoleta,3,2,2,81,81,60000,ARS,Departamento,Alquiler
22/08/2020,-34.6184957,-58.4015093,Argentina,Capital Federal,Balvanera,3,2,1,58,54,32000,ARS,Departamento,Alquiler
22/08/2020,-34.6432287,-58.5681091,Argentina,Bs.As. G.B.A. Zona Oeste,La Matanza,3,2,1,55,55,22000,ARS,Departamento,Alquiler
22/08/2020,-34.5917754,-58.3940998,Argentina,Capital Federal,Barrio Norte,3,2,2,68,65,44000,ARS,Departamento,Alquiler
22/08/2020,-34.5377043,-58.4808633,Argentina,Bs.As. G.B.A. Zona Norte,Vicente López,3,2,1,73,73,50000,ARS,Departamento,Alquiler
22/08/2020,-34.38962535,-58.87341219,Argentina,Bs.As. G.B.A. Zona Norte,Pilar,5,3,2,287,247,180000,ARS,Casa,Alquiler temporal
22/08/2020,-34.38962535,-58.87341219,Argentina,Bs.As. G.B.A. Zona Norte,Pilar,5,3,2,287,247,180000,ARS,Casa,Alquiler temporal
22/08/2020,-34.4191044,-58.8278165,Argentina,Bs.As. G.B.A. Zona Norte,Pilar,4,3,3,210,190,60000,ARS,Casa,Alquiler
22/08/2020,-34.38962535,-58.87341219,Argentina,Bs.As. G.B.A. Zona Norte,Pilar,5,3,2,287,247,180000,ARS,Casa,Alquiler temporal
22/08/2020,-34.4373927,-58.7999458,Argentina,Bs.As. G.B.A. Zona Norte,Pilar,5,3,3,269,217,150000,ARS,Departamento,Alquiler temporal
22/08/2020,-34.5412916,-58.4641176,Argentina,Capital Federal,Nuñez,4,3,3,,170,290000,ARS,Departamento,Alquiler
22/08/2020,-34.6172999,-58.3613458,Argentina,Capital Federal,Puerto Madero,4,3,2,144,132,150000,ARS,Departamento,Alquiler
22/08/2020,-34.40092669,-58.63822003,Argentina,Bs.As. G.B.A. Zona Norte,Tigre,6,4,3,,320,250000,ARS,Casa,Alquiler temporal
22/08/2020,-34.40092669,-58.63822003,Argentina,Bs.As. G.B.A. Zona Norte,Tigre,6,4,3,,320,250000,ARS,Casa,Alquiler temporal
22/08/2020,-34.4725488,-58.511485,Argentina,Bs.As. G.B.A. Zona Norte,San Isidro,5,4,3,154,154,48000,ARS,Departamento,Alquiler
22/08/2020,-34.4234769,-58.6638007,Argentina,Bs.As. G.B.A. Zona Norte,Tigre,7,,3,330,300,3000,USD,Casa,Alquiler
22/08/2020,-34.4001621,-58.65175628,Argentina,Bs.As. G.B.A. Zona Norte,Tigre,1,,1,,44,132000,USD,Oficina,Venta
22/08/2020,-34.399794,-58.6504227,Argentina,Bs.As. G.B.A. Zona Norte,Tigre,3,,1,75,75,165000,USD,Oficina,Venta
22/08/2020,-34.6141235,-58.3789854,Argentina,Capital Federal,Monserrat,5,,3,150,150,195000,USD,Oficina,Venta
22/08/2020,-34.60323332,-58.38521773,Argentina,Capital Federal,San Nicolás,1,,1,,12,22000,USD,Oficina,Venta
22/08/2020,-34.6000044,-58.4171906,Argentina,Capital Federal,Almagro,1,,1,38,31,110000,USD,Departamento,Venta
22/08/2020,-34.5816987,-58.4335472,Argentina,Capital Federal,Palermo,1,,1,35,30,105000,USD,Departamento,Venta
22/08/2020,-34.5950443,-58.4425378,Argentina,Capital Federal,Palermo,2,,1,51,46,150000,USD,Departamento,Venta
22/08/2020,-34.5825491,-58.41735,Argentina,Capital Federal,Palermo,2,,1,53,53,136500,USD,Departamento,Venta
22/08/2020,-34.5784973,-58.4249447,Argentina,Capital Federal,Palermo,1,,1,30,30,139000,USD,Departamento,Venta
22/08/2020,,,Argentina,Santa Fe,Rosario,1,,1,32,32,48000,USD,Departamento,Venta
22/08/2020,-34.5930528,-58.4084471,Argentina,Capital Federal,Belgrano,1,,1,,33,105000,USD,Departamento,Venta
